Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
3-130,,0,"24,7","29,89",,,"O kroužek MVQ"
"3-130 MVQ",,0,"24,7","29,89",,,"O kroužek MVQ"
3-135,,180,"7,9","9,56",,,"O kroužek NBR"
3-14,,481,"1,8","2,18",,,"O kroužek NBR"
3-140,,5,"12,4",15,,,"O kroužek NBR"
"3-140 MVQ",,6,"36,3","43,92",,,"O kroužek MVQ"
3-145,,95,"9,1","11,01",,,"O kroužek NBR"
3-15,,131,"2,07","2,5",,,"O kroužek NBR"
3-150,,11,"11,1","13,43",,,"O kroužek NBR"
"3-15,5",,528,"2,3","2,78",,,"O kroužek NBR"
3-16,,250,"1,9","2,3",,,"O kroužek NBR"
3-160,,51,"13,5","16,34",,,"O kroužek NBR"
3-170,,23,"22,5","27,23",,,"O kroužek NBR"
3-18,,348,"1,98","2,4",,,"O kroužek NBR"
3-185,,2,"8,2","9,92",,,"O kroužek NBR"
3-19,,204,"2,4","2,9",,,"O kroužek NBR"
3-190,,16,"21,9","26,5",,,"O kroužek NBR"
3-20,,190,"2,3","2,78",,,"O kroužek NBR"
"3-20             MVQ",,39,"4,3","5,2",,,"O kroužek NBR"
3-200,,32,"7,8","9,44",,,"O kroužek NBR"
3-21,,138,"1,9","2,3",,,"O kroužek NBR"
3-210,,10,"30,8","37,27",,,"O kroužek NBR"
3-22,,198,"2,8","3,39",,,"O kroužek NBR"
3-220,,25,"18,6","22,51",,,"O kroužek NBR"
3-24,,47,"1,7","2,06",,,"O kroužek NBR"
3-240,,17,"20,6","24,93",,,"O kroužek NBR"
3-25,,1089,3,"3,63",,,"O kroužek NBR"
3-250,,3,"25,1","30,37",,,
3-26,,154,"3,1","3,75",,,"O kroužek NBR"
3-27,,115,"3,5","4,24",,,"O kroužek NBR"
3-28,,39,"4,13",5,,,"O kroužek NBR"
3-280,,0,"39,3","47,55",,,"O kroužek NBR"
3-29,,70,"3,31",4,,,"O kroužek NBR"
3-290,,3,66,"79,86",,,"O kroužek NBR"
3-32,,197,"3,39","4,1",,,"O kroužek NBR"
3-34,,102,"3,2","3,87",,,"O kroužek NBR"
3-38,,95,5,"6,05",,,"O kroužek NBR"
3-39,,87,"4,21","5,1",,,"O kroužek NBR"
3-40,,88,"4,21","5,1",,,"O kroužek NBR"
3-42,,43,"2,89","3,5",,,"O kroužek NBR"
3-44,,89,3,"3,63",,,"O kroužek NBR"
3-45,,163,"3,1","3,75",,,"O kroužek NBR"
"3-45 FPM 80 sh",,0,"28,4","34,36",,,"O kroužek Viton"
3-46,,44,"3,4","4,11",,,"O kroužek NBR"
3-48,,47,"3,4","4,11",,,"O kroužek NBR"
3-50,,433,4,"4,84",,,"O kroužek NBR"
3-52,,106,"3,97","4,8",,,"O kroužek NBR"
3-54,,94,4,"4,84",,,"O kroužek NBR"
3-55,,39,4,"4,84",,,"O kroužek NBR"
3-57,,89,"4,26","5,15",,,"O kroužek NBR"
3-60,,35,"5,4","6,53",,,"O kroužek NBR"
3-63,,25,"6,5","7,87",,,"O kroužek NBR"
3-65,,90,"5,5","6,66",,,"O kroužek NBR"
3-7,,391,"1,45","1,75",,,"O kroužek NBR"
3-70,,26,"5,04","6,1",,,"O kroužek NBR"
3-72,,50,"7,19","8,7",,,"O kroužek NBR"
3-75,,281,"3,1","3,75",,,"O kroužek NBR"
3-8,,125,"1,2","1,45",,,"O kroužek NBR"
3-80,,36,"6,7","8,11",,,"O kroužek NBR"
3-85,,165,"4,46","5,4",,,"O kroužek NBR"
3-87,,50,"7,4","8,95",,,"O kroužek NBR"
3-89,,46,7,"8,47",,,"O kroužek NBR"
3-9,,148,"1,5","1,82",,,"O kroužek NBR"
3-90,,48,"5,2","6,29",,,"O kroužek NBR"
3-95,,186,"7,4","8,95",,,"O kroužek NBR"
3-96,,44,6,"7,26",,,"O kroužek NBR"
3-97,,44,6,"7,26",,,"O kroužek NBR"
"4,5-19",,402,7,"8,47",,,"O kroužek NBR"
"4,5-27",,21,"8,8","10,65",,,"O kroužek NBR"
"4,5-30",,0,"5,5","6,66",,,"O kroužek NBR"
"4,5-70",,18,"8,3","10,04",,,"O kroužek NBR"
"4,6-21,3                     30-22",,0,"2,5","3,03",,,"O kroužek NBR"
"4,6-23,3                     32-24",,84,3,"3,63",,,"O kroužek NBR"
"4,6-35,3                     44-36",,48,"3,2","3,87",,,"O kroužek NBR"
"4,6-36,3                     45-37",,51,"2,81","3,4",,,"O kroužek NBR"
"4,6-37,3                     46-38",,98,"3,6","4,36",,,"O kroužek NBR"
4-10,,972,3,"3,63",,,"O kroužek"
4-100,,15,"14,3","17,3",,,"O kroužek NBR"
4-12,,919,"3,2","3,87",,,"O kroužek"
4-14,,93,"3,5","4,24",,,"O kroužek NBR"
4-15,,67,"2,4","2,9",,,"O kroužek NBR"
"4-15 MVQ",,34,"7,44",9,,,"O kroužek MVQ"
"4-16 MVQ",,0,"14,63","17,7",,,"O kroužek MVQ"
4-160,,0,"24,9","30,13",,,"O kroužek NBR"
4-18,,26,"2,89","3,5",,,"O kroužek NBR"
4-180,,5,"19,26","23,3",,,"O kroužek NBR"
4-19,,59,"2,48",3,,,"O kroužek NBR"
4-190,,5,"27,35","33,1",,,"O kroužek NBR"
4-20,,84,"2,89","3,5",,,"O kroužek NBR"
"4-20             MVQ",,45,"4,55","5,5",,,"O kroužek NBR"
4-24,,463,"3,7","4,48",,,"O kroužek NBR"
4-25,,122,4,"4,84",,,"O kroužek NBR"
4-260,,7,"41,07","49,7",,,"O kroužek NBR"
4-28,,395,"4,55","5,5",,,"O kroužek NBR"
4-30,,60,"2,97","3,6",,,"O kroužek NBR"
4-32,,182,"5,04","6,1",,,"O kroužek NBR"
4-34,,0,"2,2","2,66",,,"O kroužek NBR"
4-35,,747,"2,6","3,15",,,"O kroužek NBR"
4-38,,91,"3,06","3,7",,,"O kroužek NBR"
4-40,,970,"3,06","3,7",,,"O kroužek NBR"
4-46,,551,"3,8","4,6",,,"O kroužek NBR"
4-48,,0,"3,8","4,6",,,"O kroužek NBR"
4-55,,443,"5,45","6,6",,,"O kroužek NBR"
4-58,,23,"7,44",9,,,"O kroužek NBR"
4-6,,18,"2,9","3,51",,,"O kroužek"
4-60,,90,"4,96",6,,,"O kroužek NBR"
4-64,,31,"6,53","7,9",,,"O kroužek NBR"
4-70,,4,"6,53","7,9",,,"O kroužek NBR"
4-75,,59,"8,18","9,9",,,"O kroužek NBR"
4-8,,983,"2,9","3,51",,,"O kroužek"
4-85,,0,"16,9","20,45",,,"O kroužek"
4-90,,16,"12,2","14,76",,,"O kroužek"
4-95,,0,"16,9","20,45",,,"O kroužek"
53,,16,"6,5","7,87",,,"O kroužek NBR"
"5,3-45",,0,"7,4","8,95",,,"O kroužek NBR"
"5,3-50",,0,10,"12,1",,,"O kroužek NBR"
"5,3-53",,2,"8,26",10,,,"O kroužek NBR"
"5,3-56",,10,"9,17","11,1",,,"O kroužek NBR"
"5,3-63",,0,"10,3","12,46",,,"O kroužek NBR"
"5,3-69",,7,13,"15,73",,,"O kroužek NBR"
"5,3-80",,10,"13,22",16,,,"O kroužek NBR"
"5,5-100",,18,6,"7,26",,,"O kroužek NBR"
"5,5-130",,8,"20,2","24,44",,,"O kroužek NBR"
"5,7-129,2",,0,"27,7","33,52",,,"O kroužek NBR"
"5,8-109,1",,43,"21,8","26,38",,,"O kroužek NBR"
"5,8-39,1                     50-40",,196,"7,4","8,95",,,"O kroužek NBR"
"5,8-41,1                     52-42",,10,"6,53","7,9",,,"O kroužek NBR"
"5,8-49,1                    60-50",,14,"9,7","11,74",,,"O kroužek NBR"
"5,8-54,1                     65-55",,7,"10,6","12,83",,,"O kroužek NBR"
"5,8-55,1                     66-56",,8,"9,67","11,7",,,"O kroužek NBR"
"5,8-59,1                     70-60",,9,"10,5","12,7",,,"O kroužek NBR"
"5,8-62,1                     73-63",,4,"10,91","13,2",,,"O kroužek NBR"
"5,8-69,1                     70-80",,4,"12,8","15,49",,,"O kroužek NBR"
"5,8-74,1                      85-75",,0,10,"12,1",,,"O kroužek NBR"
"5,8-74,1MVQ            85-75",,3,"30,25","36,6",,,"O kroužek MVQ"
"5,8-79,1                     90-80",,42,"13,8","16,7",,,"O kroužek NBR"
"5,8-84,1                     95-85",,1,"15,21","18,4",,,"O kroužek NBR"
"5,8-89,1                     100-90",,11,"17,85","21,6",,,"O kroužek NBR"
"5,8-94,1                     105-95",,0,"20,6","24,93",,,"O kroužek NBR"
5-100,,0,"6,61",8,,,"O kroužek NBR"
"5-100 MVQ",,0,"29,8","36,06",,,"O kroužek MVQ"
5-108,,8,"15,3","18,51",,,"O kroužek NBR"
5-110,,24,"13,9","16,82",,,"O kroužek NBR"
5-120,,0,"10,7","12,95",,,"O kroužek NBR"
5-125,,23,"9,2","11,13",,,"O kroužek NBR"
5-130,,0,"12,5","15,13",,,"O kroužek NBR"
"5-14 MVQ",,2,"26,2","31,7",,,"O kroužek MVQ"
"5-145 MVQ",,1,"34,3","41,5",,,"O kroužek MVQ"
5-150,,9,"34,1","41,26",,,"O kroužek NBR"
5-160,,1,"17,6","21,3",,,"O kroužek NBR"
5-180,,0,"30,6","37,03",,,"O kroužek NBR"
